SUDT ACCESSPORT LOG FILE - Monitor mode

Monitor: COM23
Create Time: 2026-06-09, 15:53:53
Computer Name: Äüÿ
System version:  (Build 9200)

#	Time		Duration (s)	Process		Request                             	Port	Result	Data ( Hex )	

1	15:52:48.121	0.00005300	Ai_Thinker_PDO	IRP_MJ_CREATE                       	COM23	SUCCESS	Port Opened	
2	15:52:48.121	0.00016370	Ai_Thinker_PDO	IRP_MJ_CLOSE                        	COM23	SUCCESS	Port Closed	
3	15:52:48.121	0.00003860	Ai_Thinker_PDO	IRP_MJ_CREATE                       	COM23	SUCCESS	Port Opened	
4	15:52:48.122	0.00034120	Ai_Thinker_PDO	IOCTL_SERIAL_SET_BAUD_RATE          	COM23	SUCCESS	Baud Rate: 115200	
5	15:52:48.123	0.00000260	Ai_Thinker_PDO	IOCTL_SERIAL_CLR_RTS                	COM23	SUCCESS		
6	15:52:48.123	0.00018250	Ai_Thinker_PDO	IOCTL_SERIAL_SET_DTR                	COM23	SUCCESS		
7	15:52:48.123	0.00037370	Ai_Thinker_PDO	IOCTL_SERIAL_SET_LINE_CONTROL       	COM23	SUCCESS	StopBits: 1, Parity: No, DataBits: 8	
8	15:52:48.123	0.00000320	Ai_Thinker_PDO	IOCTL_SERIAL_SET_CHARS              	COM23	SUCCESS	EofChar: 0xF0, ErrorChar: 0x84, BreakChar: 0x84, EventChar: 0x5, XonChar: 0x6E, XoffChar: 0x24	
9	15:52:48.123	0.00000220	Ai_Thinker_PDO	IOCTL_SERIAL_SET_HANDFLOW           	COM23	SUCCESS	ControlHandShake: 0x1, FlowReplace: 0x0, XonLimit: 0, XoffLimit: 0	
10	15:52:48.123	0.00002160	Ai_Thinker_PDO	IOCTL_SERIAL_SET_TIMEOUTS           	COM23	SUCCESS	ReadIntervalTimeout: -1, ReadTotalTimeoutMultiplier: 0, ReadTotalTimeoutConstant: 0, WriteTotalTimeoutMultiplier: 0, WriteTotalTimeoutConstant: 0	
